indicator_name,description,source_name
نرخ ارتقای تحصیلی ابتدایی,نرخ ارتقای تحصیلی بیانگر درصد افرادی است که پس از پایان یک پایه یا مقطع، شرایط لازم برای ورود به سطح بالاتر آموزشی را کسب کرده‌اند. محاسبه این نرخ بر اساس نسبت تعداد افراد ارتقایافته به کل افراد مشمول ارتقا انجام می‌شود و روند پیشرفت تحصیلی را نشان می‌دهد.,وزارت آموزش و پرورش
نرخ ترک تحصیل ابتدایی,تداوم یا گسست حضور افراد در مسیر آموزش، با میزان ترک تحصیل دانش‌آموزان و دانشجویان پیش از رسیدن به پایان دوره تحصیلی قابل ارزیابی است. این نرخ از مقایسه تعداد افراد ترک‌تحصیل‌کرده با کل جمعیت در حال تحصیل محاسبه می‌شود و برای ارزیابی تداوم حضور در نظام آموزشی مورد استفاده قرار می‌گیرد.,وزارت آموزش و پرورش
سهم هزینه آموزش روستایی,سهم هزینه‌های آموزشی از کل مخارج، میزان توجه و تخصیص منابع مالی به حوزه آموزش را در مقایسه با سایر هزینه‌ها نشان می‌دهد. این سهم از تقسیم هزینه‌های آموزشی بر مجموع هزینه‌ها و ضرب در 100 محاسبه می‌شود و میزان منابع مالی صرف‌شده برای فعالیت‌ها و خدمات آموزشی را در مقایسه با سایر هزینه‌ها نشان می‌دهد. این شاخص بیانگر اولویت دادن به آموزش در تخصیص منابع است.,مرکز آمار
سهم هزینه آموزش شهری,سهم هزینه‌های آموزشی از کل مخارج، میزان توجه و تخصیص منابع مالی به حوزه آموزش را در مقایسه با سایر هزینه‌ها نشان می‌دهد. این سهم از تقسیم هزینه‌های آموزشی بر مجموع هزینه‌ها و ضرب در 100 محاسبه می‌شود و میزان منابع مالی صرف‌شده برای فعالیت‌ها و خدمات آموزشی را در مقایسه با سایر هزینه‌ها نشان می‌دهد. این شاخص بیانگر اولویت دادن به آموزش در تخصیص منابع است.,مرکز آمار
نرخ باسوادی,نرخ باسوادی درصد افرادی از جمعیت مورد بررسی را نشان می‌دهد که توانایی خواندن و نوشتن دارند. این نرخ از تقسیم تعداد افراد باسواد بر کل جمعیت گروه سنی هدف و ضرب در 100 به دست می‌آید و تصویری از وضعیت برخورداری افراد از مهارت‌های پایه آموزشی در یک جامعه ارائه می‌کند.,وزارت آموزش و پرورش
شکاف جنسیتی سواد,تفاوت در نرخ باسوادی زنان و مردان، تصویری از شکاف جنسیتی در دسترسی به مهارت‌های پایه سوادآموزی ارائه می‌کند.این شاخص معمولاً از تفاضل نرخ باسوادی مردان و زنان محاسبه می‌شود و هرچه مقدار آن به صفر نزدیک‌تر باشد، وضعیت باسوادی دو جنس به یکدیگر نزدیک‌تر است.,مرکز آمار
نسبت جنسی آموزش عالی,توزیع دانشجویان زن و مرد در دانشگاه‌ها و مؤسسات آموزش عالی را از طریق مقایسه تعداد دو جنس نمایش می‌دهد. این نسبت معمولاً از تقسیم تعداد دانشجویان یک جنس بر تعداد دانشجویان جنس دیگر محاسبه می‌شود و برای بررسی ترکیب جنسیتی جمعیت دانشجویی به کار می‌رود.,وزارت علوم، تحقیقات و فناوری
تراکم دانش‌آموز در کلاس,وضعیت تراکم کلاسی در دوره ابتدایی، از تعداد دانش‌آموزانی که به‌طور متوسط در هر کلاس آموزشی قرار می‌گیرند، قابل مشاهده است. این شاخص برای بررسی میزان استفاده از فضاهای آموزشی و وضعیت توزیع دانش‌آموزان در کلاس‌ها به کار می‌رود و تصویری از عدالت آموزشی در مقطع ابتدایی ارائه می‌کند. هرچه این شاخص بالاتر باشد، به معنای کمبود کلاس‌های آموزشی است.,وزارت آموزش و پرورش
میزان سرقت,این شاخص نسبت دستگیرشدگان انواع سرقت‌های عادی را به جمعیت نشان می‌دهد و بیانگر گستره جرائم سرقت و میزان مواجهه دستگاه‌های انتظامی با این نوع جرم است., فرماندهی انتظامی جمهوری اسلامی ایران
میزان قتل,قتل یکی از شدیدترین اشکال خشونت در جامعه است. این شاخص تعداد قتل‌های ثبت‌شده را به ازای هر صدهزار نفر جمعیت اندازه‌گیری می‌کند و میزان وقوع جرائم خشن و وضعیت امنیت عمومی در هر منطقه را به تصویر می‌کشد., فرماندهی انتظامی جمهوری اسلامی ایران
میزان قاچاق مواد,کشف مواد مخدر یکی از مهم‌ترین شاخص‌های مرتبط با مقابله با جرائم مواد مخدر است. این نماگر مجموع انواع مواد مخدر کشف‌شده را بر حسب کیلوگرم نشان می‌دهد و تصویری از حجم فعالیت‌های مرتبط با مواد مخدر و اقدامات مقابله‌ای دستگاه‌های مسئول در هر منطقه ارائه می‌کند.,ستاد مبارزه با مواد مخدر
نرخ ورودی زندان‌ها,ورود افراد به زندان یکی از پیامدهای نظام عدالت کیفری در مواجهه با جرائم است. این نماگر تعداد ورودی‌های زندان را نسبت به جمعیت استان نشان می‌دهد و تصویری از حجم جرائمی ارائه می‌کند که به بازداشت یا اجرای حکم حبس منجر شده‌اند. از آنجا که همه افراد دستگیرشده وارد زندان نمی‌شوند، این شاخص صرفاً بیانگر میزان دستگیری نیست و تا حدی بازتابی از نحوه برخورد نظام قضایی با جرائم نیز محسوب می‌شود.,سازمان زندان‌ها و اقدامات تأمینی و تربیتی کشور
نرخ مرگ‌ومیر ناشی از تصادف,حوادث رانندگی هر ساله بخشی از تلفات انسانی کشور را به خود اختصاص می‌دهند. این نماگر تعداد فوت‌شدگان ناشی از تصادفات را نسبت به هر صد هزار نفر جمعیت اندازه‌گیری می‌کند و تصویری از وضعیت ایمنی حمل‌ونقل و پیامدهای اجتماعی حوادث رانندگی ارائه می‌دهد., فرماندهی انتظامی جمهوری اسلامی ایران
فراگیری مصرف مشروبات,برداشت مردم از میزان رواج مصرف مشروبات الکلی، لزوماً با میزان واقعی آن یکسان نیست؛ اما برآورد خوبی از میزان حساسیت جامعه یا حتی شیوع واقعی آن است. این نماگر بر اساس ارزیابی جوانان ۱۸ تا ۳۵ سال از شیوع این رفتار در میان همسالان خود محاسبه می‌شود. نمره‌های بالاتر نشان می‌دهد پاسخگویان مصرف مشروبات الکلی را فراگیرتر ارزیابی کرده‌اند.,پیمایش ارزش‌ها و نگرش‌های جوانان
سرانه مصرف سیگار,میزان مصرف سیگار، یکی از شاخص‌های مهم در بررسی رفتارهای مرتبط با سلامت است. این نماگر متوسط تعداد نخ‌های سیگار مصرف‌شده توسط مردان بالای ۱۵ سال را در یک هفته نشان می‌دهد و امکان رصد تغییرات شدت مصرف دخانیات را فراهم می‌کند.,مرکز آمار
دریافت خدمات روانی,بهره‌گیری از خدمات سلامت روان، یکی از ابعاد قابل رصد سلامت اجتماعی است. این شاخص نشان می‌دهد از هر ده هزار خانوار چه تعدادشان در ماه مرجع طرح آمارگیری، حداقل یکی از اعضای آن‌ها به روانشناس یا روانپزشک مراجعه کرده است. این شاخص تصویری از رواج استفاده‌ی خانوارها از خدمات تخصصی سلامت روان و تغییرات آن در جامعه ارائه می‌کند. مقدار صفر در این شاخص به معنای صفر واقعی نیست، بلکه با توجه به پیمایشی بودن داده‌ها نشان‌دهنده میزان بسیار ناچیز است.,مرکز آمار
رواج درمان اعتیاد,مراجعه خانوارها به مراکز ترک اعتیاد، میزان بهره‌گیری آنان از خدمات درمانی مرتبط با ترک وابستگی به مواد را بازتاب می‌دهد. در این سنجه، تعداد خانوارهایی که در ماه مرجع آمارگیری برای درمان حداقل یکی از اعضای خود به این مراکز مراجعه کرده‌اند، به ازای هر ده‌هزار خانوار بیان می‌شود. مقدار صفر در این شاخص به معنای صفر واقعی نیست، بلکه با توجه به پیمایشی بودن داده‌ها نشان‌دهنده میزان بسیار ناچیز است.,مرکز آمار
میزان خودکشی,خودکشی از مهم‌ترین آسیب‌های اجتماعی و روانی به شمار می‌رود. این نماگر تعداد موارد خودکشی را به ازای هر صدهزار نفر جمعیت نشان می‌دهد و امکان مقایسه وضعیت مناطق مختلف و بررسی روند تغییرات این پدیده را در طول زمان فراهم می‌کند., فرماندهی انتظامی جمهوری اسلامی ایران
رواج عمل‌های زیبایی,رواج جراحی‌ها و اقدامات زیبایی در سال‌های اخیر به یکی از ابعاد قابل توجه سبک زندگی تبدیل شده است و می‌تواند بیانگر  یکی از مسائل اجتماعی نوظهور باشد. تعداد افرادی  که عمل زیبایی انجام داده‌اند به ازای هر ده هزار نفر جمعیت، تصویری از فراگیری استفاده از این خدمات را ارائه می‌کند. مقدار صفر در این شاخص به معنای صفر واقعی نیست، بلکه با توجه به پیمایشی بودن داده‌ها نشان‌دهنده میزان بسیار ناچیز است.,مرکز آمار
رواج نگهداری حیوانات خانگی,نگهداری حیوانات خانگی هم از دیرباز در خانواده‌ها رواج داشته و هم به‌عنوان الگویی از سبک زندگی جدید شناخته می‌شود. در این شاخص سهم خانوارهایی محاسبه شده که در طول یک‌سال به هر مبلغی برای حیوانات خانگی خود  هزینه کرده‌اند. مقدار صفر در این شاخص به معنای صفر واقعی نیست، بلکه با توجه به پیمایشی بودن داده‌ها نشان‌دهنده میزان بسیار ناچیز است.,مرکز آمار
رواج مصرف فست‌فود,غذاهای آماده‌ی به اصطلاح «فست‌فود» به بخشی از الگوی مصرف بسیاری از خانوارها تبدیل شده‌اند. با این حال، نگرانی‌هایی درباره‌ی سلامت این غذاها وجود دارد. شاخص رواج مصرف فست‌فود سهم خانوارهایی را نشان می‌دهد که در ماه مرجع حداقل یک بار فست‌فود مصرف کرده‌اند و تصویری از میزان فراگیری این الگوی تغذیه‌ای ارائه می‌دهد.,مرکز آمار
رواج مصرف نوشابه,نوشابه‌ها از اقلام رایج سبد مصرف خانوارها هستند که به دلیل محتوای بالای قند و پیامدهای منفی برای سلامت، همواره مورد نگرانی سلامت قرار هستند. شاخص رواج مصرف نوشابه سهم خانوارهایی را نشان می‌دهد که در ماه مرجع طرح هزینه و درآمد خانوار حداقل یک‌بار برای خرید نوشابه هزینه کرده‌اند و میزان فراگیری این نوع مصرف را در میان خانوارها به‌عنوان بخشی از الگوهای تغذیه و سبک زندگی بازتاب می‌دهد.,مرکز آمار
رواج آموزش زبان خارجی,شاخص رواج آموزش زبان خارجی سهم خانوارهایی را نشان می‌دهد که در طول یک سال برای حداقل یکی از اعضای خود هزینه کلاس زبان خارجی خارج از مدرسه پرداخت کرده‌اند. این شاخص میزان فراگیری آموزش زبان خارجی را به‌عنوان یکی از مولفه‌های سبک زندگی و الگوهای مصرف فرهنگی بازتاب می‌دهد. مقدار صفر در این شاخص به معنای صفر واقعی نیست، بلکه با توجه به پیمایشی بودن داده‌ها نشان‌دهنده میزان بسیار ناچیز است.,مرکز آمار
میزان پذیرش تنبیه کودکان,شیوه‌های تربیتی خانواده‌ها تا حد زیادی تحت تأثیر ارزش‌ها و هنجارهای فرهنگی قرار دارند. این نماگر از میزان موافقت یا مخالفت افراد با تنبیه بدنی کودکان به دست آمده است و در بازه‌ی صفر تا صد تعدیل شده است. نمره‌های بالاتر نشان‌دهنده پذیرش بیشتر این روش تربیتی و نمره‌های پایین‌تر بیانگر مخالفت بیشتر با آن است.,پیمایش ارزش‌ها و نگرش‌ها
مراجعه به خدمات ماورایی,خدمات شبه‌معنوی شامل فعالیت‌هایی مانند رمالی، طالع‌بینی، پیشگویی و موارد مشابه است که با هدف پیش‌بینی آینده یا حل مسائل فردی و خانوادگی مورد استفاده قرار می‌گیرند. این شاخص سهم خانوارهایی را نشان می‌دهد که در طول یک سال، حداقل یک‌بار برای استفاده از این خدمات هزینه پرداخت کرده‌اند. مقدار صفر در این شاخص به معنای صفر واقعی نیست، بلکه با توجه به پیمایشی بودن داده‌ها نشان‌دهنده میزان بسیار ناچیز است.,مرکز آمار
رواج درمان‌های سنتی,درمان‌های سنتی همچنان یکی از گزینه‌های مورد استفاده بخشی از جامعه برای پیشگیری یا درمان برخی مشکلات سلامت هستند و انتخاب آن‌ها می‌تواند بازتابی از باورها، تجربه‌ها و ترجیحات فرهنگی افراد باشد.این شاخص سهم خانوارهایی را نشان می‌دهد که در طول یک سال، حداقل یک‌بار برای دریافت خدمات طب سنتی هزینه پرداخت کرده‌اند و تصویری از میزان فراگیری این الگوی درمان‌جویی در جامعه ارائه می‌دهد. مقدار صفر در این شاخص به معنای صفر واقعی نیست، بلکه با توجه به پیمایشی بودن داده‌ها نشان‌دهنده میزان بسیار ناچیز است.,مرکز آمار
احساس امنیت شغلی,نگرانی از دست دادن شغل می‌تواند بر کیفیت زندگی و تصمیم‌های اقتصادی افراد اثرگذار باشد. این نماگر از پاسخ افراد به پرسش «تا چه حد نگران از دست دادن شغل خود هستید؟» به دست می‌آید و در بازه‌ی صفر تا صد نرمال شده است. نمره‌های بالاتر بیانگر نگرانی بیشتر نسبت به از دست دادن شغل و نمره‌های پایین‌تر نشان‌دهنده احساس امنیت شغلی بیشتر هستند.,پیمایش ارزش‌ها و نگرش‌ها
پذیرش ازدواج سفید,نگرش جامعه به الگوهای جدید زندگی خانوادگی در این نماگر منعکس می‌شود. مبنای محاسبه آن میزان موافقت یا مخالفت افراد با زندگی مشترک دختر و پسر بدون ازدواج رسمی است که در بازه‌ی صفر تا صد نرمال شده است. هرچه امتیاز بالاتر باشد، پذیرش این شیوه زندگی در میان پاسخگویان بیشتر بوده است.,پیمایش ارزش‌ها و نگرش‌ها
پذیرش دوستی دختر و پسر,روابط پیش از ازدواج از موضوعاتی است که نگرش‌های متفاوتی درباره آن وجود دارد. نگرش پاسخگویان نسبت به دوستی و معاشرت دختر و پسر پیش از ازدواج، بر اساس میزان موافقت یا مخالفت آنان با این نوع روابط سنجیده شده و در بازه صفر تا صد نرمال‌سازی شده است. امتیازهای بالاتر به معنای پذیرش بیشتر این نوع روابط و امتیازهای پایین‌تر بیانگر مخالفت بیشتر با آن است.,پیمایش ارزش‌ها و نگرش‌ها
احساس امنیت در خیابان,احساس امنیت در فضاهای عمومی، یکی از مولفه‌های مهم امنیت اجتماعی و کیفیت زندگی شهری است. این شاخص بر اساس میزان موافقت یا مخالفت افراد با گزاره «در هنگام تردد در خیابان و کوچه احساس امنیت می‌کنم» محاسبه می‌شود و پس از نرمال‌سازی در بازه‌ی صفر تا صد قرار گرفته است. نمره‌های بالاتر بیانگر احساس امنیت بیشتر و نمره‌های پایین‌تر نشان‌دهنده احساس ناامنی بیشتر در فضاهای عمومی است.,پیمایش ارزش‌ها و نگرش‌های جوانان
امید به آینده شغلی,تصور افراد از آینده کاری خود، یکی از عوامل مؤثر بر رضایت از زندگی و برنامه‌ریزی برای آینده است. میزان بدبینی یا خوش‌بینی افراد نسبت به آینده کاری، از طریق سنجش میزان موافقت آنان با گزاره «آینده شغلی روشنی را پیش روی خود نمی‌بینم» محاسبه شده و پس از نرمال‌سازی در بازه صفر تا صد قرار گرفته است. نمره‌های بالاتر بیانگر بدبینی بیشتر نسبت به آینده شغلی و نمره‌های پایین‌تر نشان‌دهنده امید بیشتر به فرصت‌های شغلی آینده است.,پیمایش ارزش‌ها و نگرش‌های جوانان
میزان اعتماد به دیگران,اعتماد، زیربنای بسیاری از روابط اجتماعی است و بر کیفیت تعاملات روزمره، همکاری و احساس امنیت در میان افراد اثر می‌گذارد. این نماگر با ترکیب میزان اعتماد به خانواده، دوستان، همکاران، همسایگان و عموم مردم، تصویری از سطح اعتماد میان افراد جامعه ارائه می‌کند. نمرات ایت شاخص پس از نرمال‌سازی در بازه صفر تا صد قرار گرفته و نمره بالاتر نشان‌دهنده شکل‌گیری روابط اجتماعی مبتنی بر اطمینان بیشتر است.,پیمایش سرمایه اجتماعی (مرکز تحقیقات صداوسیما)
میزان اعتماد سازمانی,اعتماد اجتماعی تنها در روابط میان افراد شکل نمی‌گیرد؛ سازمان‌ها و نهادهای عمومی نیز در ایجاد احساس اطمینان و ثبات نقش مهمی دارند. این نماگر میزان اعتماد شهروندان به سازمان‌های رسمی را در قالب یک نمره ترکیبی نشان می‌دهد و یکی از نشانه‌های کیفیت رابطه جامعه با ساختارهای حکمرانی و خدمات عمومی به شمار می‌آید. نمرات این شاخص پس از نرمال‌سازی در بازه‌ی صفر تا صد قرار گرفته است.,پیمایش سرمایه اجتماعی (وزارت کشور)
گستره اعتماد اجتماعی,مرز روابط اجتماعی همه افراد یکسان نیست؛ برخی اعتماد، همکاری و رعایت حقوق دیگران را تنها در قبال نزدیکان خود بروز می‌دهند و برخی این رفتار را نسبت به افراد ناآشنا نیز حفظ می‌کنند. هرچه این دایره گسترده‌تر باشد، تعاملات اجتماعی کمتر بر روابط شخصی و بیشتر بر اعتماد عمومی استوار خواهد بود. نمرات این شاخص در بازه صفر تا صد نرمال شده و هر چه بالاتر باشد، به این معنی است که وسعت روابط افراد بیشتر است.,پیمایش سرمایه اجتماعی (وزارت کشور)
ادراک از رواج کلاهبرداری,برداشت مردم از فراگیر بودن رفتارهایی مانند تقلب و کلاهبرداری، مبنای محاسبه این شاخص است. هرچه چنین رفتارهایی رایج‌تر تلقی شوند، می‌توان آن را نشانه‌ای از تضعیف هنجارهای اخلاقی و کاهش اعتماد در روابط اجتماعی دانست. نمرات این شاخص در بازه‌ی صفر تا صد نرمال شده و مقادیر بالاتر بیانگر ادراک بیشتر از رواج این رفتارها در جامعه است.,پیمایش ارزش‌ها و نگرش‌ها
ادراک از قانون‌گرایی مسئولان,از شهروندان خواسته شده میزان پایبندی مسئولان به قانون را ارزیابی کنند. حاصل این ارزیابی، تصویری از نگاه مردم به عملکرد قانون‌مند نهادهای عمومی ارائه می‌دهد. انمراه این شاخص پس از نرمال‌سازی در بازه صفر تا صد قرار گرفته و افزایش مقدار آن نشان می‌دهد مسئولان از دید افکار عمومی،  بیشتر در چارچوب قانون عمل می‌کنند.,پیمایش ارزش‌ها و نگرش‌ها
ادراک از رواج پارتی‌بازی,قضاوت مردم درباره نقش پول، نفوذ و روابط شخصی در دستیابی به حقوق و فرصت‌ها، پایه شکل‌گیری این شاخص است. هرچه افراد بیشتر احساس کنند موفقیت به رانت و پارتی وابسته است، اعتماد به برابری فرصت‌ها و رعایت ضوابط رسمی نیز کاهش می‌یابد. نمرات این شاخص پس از نرمال‌سازی در بازه‌ی صفر تا صد قرار گرفته است.,پیمایش ارزش‌ها و نگرش‌ها
ادراک از عدالت قضایی,نگرش به امکان احقاق حق از مسیرهای قانونی، یکی از معیارهای سنجش اعتماد به نهادهای رسمی است. این شاخص بر اساس ارزیابی مردم از دسترسی به عدالت قضایی محاسبه شده و نشان می‌دهد شهروندان تا چه اندازه نظام قضایی را در حمایت از حقوق افراد کارآمد می‌دانند. نمرات این شاخص پس از نرمال‌سازی در بازه‌ی صفر تا صد قرار گرفته است.,پیمایش ارزش‌ها و نگرش‌ها
میزان ضابطه‌گرایی,پایبندی به قواعد عمومی، زمانی معنا پیدا می‌کند که روابط شخصی بر تصمیم‌ها غلبه نکند. این شاخص از ترکیب پاسخ افراد در سه موقعیت فرضیِ جریمه تخلف، استخدام و اعطای وام محاسبه شده و نشان می‌دهد افراد تا چه اندازه ضابطه را بر رابطه ترجیح می‌دهند. نمرات بالاتر بیانگر عام‌گرایی بیشتر است.,پیمایش سرمایه اجتماعی (مرکز تحقیقات صداوسیما)
سرانه اهدای خون,تعداد واحدهای خون اهدایی به ازای هر هزار نفر جمعیت، مبنای محاسبه این شاخص است. اهدای خون یکی از ملموس‌ترین شکل‌های مشارکت داوطلبانه در تأمین منافع عمومی به شمار می‌رود و افزایش آن می‌تواند بیانگر آمادگی بیشتر شهروندان برای کمک به دیگران و ایفای مسئولیت اجتماعی باشد.,سازمان انتقال خون ایران
مشارکت در انتخابات,درصد افراد واجد شرایطی که در انتخابات رأی داده‌اند، این شاخص را تشکیل می‌دهد. حضور در انتخابات یکی از رایج‌ترین شیوه‌های مشارکت شهروندان در تصمیم‌گیری‌های عمومی است و مقادیر بالاتر از مشارکت مردم در سازوکارهای رسمی اداره جامعه حکایت دارد.,مرکز آمار
افتخار به ملیت,احساس افتخار به هویت ملی، یکی از جلوه‌های تعلق افراد به کشور است. این شاخص از ارزیابی احساس افتخار کردن افراد به هویت ایرانی خود به دست آمده و نشان می‌دهد هویت ملی تا چه اندازه برای شهروندان ارزشمند و افتخارآمیز تلقی می‌شود. این شاخص در بازه‌ی صفر تا صد قرار گرفته است.,پیمایش سرمایه اجتماعی (وزارت کشور)
تمایل به دفاع از کشور,این شاخص از ارزیابی افراد درباره میزان آمادگی مردم برای دفاع داوطلبانه از کشور در شرایط جنگی به دست می‌آید. پاسخ‌ها تنها نگرش شخصی را منعکس نمی‌کنند، بلکه برداشت افراد از روحیه مسئولیت‌پذیری و همبستگی ملی در جامعه را نیز نشان می‌دهند. این شاخص در بازه صفر تا صد نرمال شده و مقادیر بالاتر بیانگر انتظار بیشتر برای مشارکت مردم در دفاع از کشور است.,پیمایش ارزش‌ها و نگرش‌ها
تمایل به مهاجرت,این شاخص از محاسبه درصد افرادی که در صورت فراهم بودن شرایط، مهاجرت دائمی را انتخاب می‌کنند، به دست آمده است. تمایل به ترک کشور، در کنار عوامل اقتصادی و اجتماعی، می‌تواند بازتابی از میزان امید به آینده و احساس تعلق افراد به جامعه و سرزمین خود نیز باشد.,پیمایش سرمایه اجتماعی (وزارت کشور)
امید به اوضاع سیاسی,از افراد خواسته شده پیش‌بینی کنند اوضاع سیاسی کشور در سال‌های آینده بهتر می‌شود، بدتر می‌شود یا تغییری نخواهد کرد. توزیع این پاسخ‌ها، تصویری از میزان امید یا بدبینی نسبت به آینده سیاسی کشور ارائه می‌دهد. غلبه پاسخ‌های خوش‌بینانه، از امید بیشتر به آینده کشور حکایت دارد,پیمایش سرمایه اجتماعی (وزارت کشور)
میزان تورم کل روستایی,نوسانات سطح قیمت کالاها و خدمات مصرفی در مناطق روستایی، تصویری از روند تورم و تغییر هزینه‌های زندگی روستایی در طول زمان ارائه می‌کند. این شاخص نشان می‌دهد هزینه زندگی تا چه اندازه افزایش یا کاهش یافته و یکی از مهم‌ترین معیارهای سنجش قدرت خرید خانوارها به شمار می‌رود. تغییرات آن می‌تواند بر الگوی مصرف، رفاه اقتصادی و توان خانوارها در تأمین نیازهای روزمره تأثیرگذار باشد.,مرکز آمار
